State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Haryana,Ambala,05-07-2023,2023,7,13.44346589,NRSC VIC MODEL
Haryana,Ambala,11-07-2023,2023,7,23.07632174,NRSC VIC MODEL
Haryana,Ambala,14-07-2023,2023,7,19.51396858,NRSC VIC MODEL
Haryana,Ambala,20-07-2023,2023,7,18.367752,NRSC VIC MODEL
Haryana,Bhiwani,06-07-2023,2023,7,15.70736276,NRSC VIC MODEL
Haryana,Bhiwani,07-07-2023,2023,7,16.76046342,NRSC VIC MODEL
Haryana,Bhiwani,08-07-2023,2023,7,17.5903861,NRSC VIC MODEL
Haryana,Bhiwani,10-07-2023,2023,7,19.85256779,NRSC VIC MODEL
Haryana,Bhiwani,12-07-2023,2023,7,21.06800122,NRSC VIC MODEL
Haryana,Bhiwani,15-07-2023,2023,7,19.52185061,NRSC VIC MODEL
Haryana,Bhiwani,16-07-2023,2023,7,19.68440626,NRSC VIC MODEL
Haryana,Bhiwani,24-07-2023,2023,7,17.50065596,NRSC VIC MODEL
Haryana,Bhiwani,30-07-2023,2023,7,23.75331066,NRSC VIC MODEL
Haryana,Charki Dadri,12-07-2023,2023,7,18.51368337,NRSC VIC MODEL
Haryana,Faridabad,01-07-2023,2023,7,17.92457062,NRSC VIC MODEL
Haryana,Faridabad,10-07-2023,2023,7,20.05995034,NRSC VIC MODEL
Haryana,Faridabad,12-07-2023,2023,7,18.46629723,NRSC VIC MODEL
Haryana,Faridabad,16-07-2023,2023,7,19.05647673,NRSC VIC MODEL
Haryana,Faridabad,19-07-2023,2023,7,16.9471618,NRSC VIC MODEL
Haryana,Faridabad,22-07-2023,2023,7,15.00666611,NRSC VIC MODEL
Haryana,Faridabad,23-07-2023,2023,7,13.98043032,NRSC VIC MODEL
Haryana,Faridabad,31-07-2023,2023,7,19.41899986,NRSC VIC MODEL
Haryana,Fatehabad,05-07-2023,2023,7,16.12428493,NRSC VIC MODEL
Haryana,Fatehabad,06-07-2023,2023,7,16.01250508,NRSC VIC MODEL
Haryana,Fatehabad,07-07-2023,2023,7,18.54436082,NRSC VIC MODEL
Haryana,Fatehabad,09-07-2023,2023,7,25.09137017,NRSC VIC MODEL
Haryana,Fatehabad,13-07-2023,2023,7,19.46020255,NRSC VIC MODEL
Haryana,Fatehabad,14-07-2023,2023,7,19.36793839,NRSC VIC MODEL
Haryana,Fatehabad,29-07-2023,2023,7,20.28592993,NRSC VIC MODEL
Haryana,Gurugram,01-07-2023,2023,7,17.2092213,NRSC VIC MODEL
Haryana,Gurugram,06-07-2023,2023,7,17.04028531,NRSC VIC MODEL
Haryana,Gurugram,07-07-2023,2023,7,17.24087406,NRSC VIC MODEL
Haryana,Gurugram,08-07-2023,2023,7,18.97654753,NRSC VIC MODEL
Haryana,Gurugram,13-07-2023,2023,7,18.45173985,NRSC VIC MODEL
Haryana,Gurugram,17-07-2023,2023,7,20.01120879,NRSC VIC MODEL
Haryana,Gurugram,29-07-2023,2023,7,22.00321389,NRSC VIC MODEL
Haryana,Gurugram,30-07-2023,2023,7,20.35805373,NRSC VIC MODEL
Haryana,Gurugram,31-07-2023,2023,7,18.79924093,NRSC VIC MODEL
Haryana,Hisar,01-07-2023,2023,7,14.999577,NRSC VIC MODEL
Haryana,Hisar,07-07-2023,2023,7,15.8769641,NRSC VIC MODEL
Haryana,Hisar,11-07-2023,2023,7,21.85659136,NRSC VIC MODEL
Haryana,Hisar,13-07-2023,2023,7,18.62019058,NRSC VIC MODEL
Haryana,Hisar,17-07-2023,2023,7,20.56793392,NRSC VIC MODEL
Haryana,Hisar,21-07-2023,2023,7,19.42281538,NRSC VIC MODEL
Haryana,Hisar,25-07-2023,2023,7,16.94347429,NRSC VIC MODEL
Haryana,Hisar,30-07-2023,2023,7,20.03237809,NRSC VIC MODEL
Haryana,Jhajjar,01-07-2023,2023,7,18.05497281,NRSC VIC MODEL
Haryana,Jhajjar,13-07-2023,2023,7,18.38826647,NRSC VIC MODEL
Haryana,Jhajjar,15-07-2023,2023,7,17.49652656,NRSC VIC MODEL
Haryana,Jhajjar,17-07-2023,2023,7,19.92559893,NRSC VIC MODEL
Haryana,Jhajjar,21-07-2023,2023,7,17.38388843,NRSC VIC MODEL
Haryana,Jhajjar,25-07-2023,2023,7,16.66957748,NRSC VIC MODEL
Haryana,Jhajjar,28-07-2023,2023,7,18.77427864,NRSC VIC MODEL
Haryana,Jind,01-07-2023,2023,7,15.67168394,NRSC VIC MODEL
Haryana,Jind,03-07-2023,2023,7,14.74516378,NRSC VIC MODEL
Haryana,Jind,04-07-2023,2023,7,14.50662256,NRSC VIC MODEL
Haryana,Jind,06-07-2023,2023,7,17.47364664,NRSC VIC MODEL
Haryana,Jind,13-07-2023,2023,7,18.80906179,NRSC VIC MODEL
Haryana,Jind,15-07-2023,2023,7,17.75700598,NRSC VIC MODEL
Haryana,Jind,17-07-2023,2023,7,16.91066611,NRSC VIC MODEL
Haryana,Jind,24-07-2023,2023,7,17.61883914,NRSC VIC MODEL
Haryana,Jind,28-07-2023,2023,7,19.79334537,NRSC VIC MODEL
Haryana,Jind,29-07-2023,2023,7,20.02480339,NRSC VIC MODEL
Haryana,Kaithal,06-07-2023,2023,7,21.63892957,NRSC VIC MODEL
Haryana,Kaithal,10-07-2023,2023,7,23.50032745,NRSC VIC MODEL
Haryana,Karnal,05-07-2023,2023,7,18.30555694,NRSC VIC MODEL
Haryana,Karnal,12-07-2023,2023,7,25.36910401,NRSC VIC MODEL
Haryana,Karnal,23-07-2023,2023,7,22.39884337,NRSC VIC MODEL
Haryana,Karnal,24-07-2023,2023,7,20.77955565,NRSC VIC MODEL
Haryana,Karnal,28-07-2023,2023,7,25.6269674,NRSC VIC MODEL
Haryana,Karnal,31-07-2023,2023,7,23.29734493,NRSC VIC MODEL
Haryana,Kurukshetra,05-07-2023,2023,7,16.95583527,NRSC VIC MODEL
Haryana,Kurukshetra,10-07-2023,2023,7,25.57622781,NRSC VIC MODEL
Haryana,Kurukshetra,12-07-2023,2023,7,25.22481901,NRSC VIC MODEL
Haryana,Kurukshetra,14-07-2023,2023,7,22.51769592,NRSC VIC MODEL
Haryana,Kurukshetra,15-07-2023,2023,7,22.26251216,NRSC VIC MODEL
Haryana,Kurukshetra,18-07-2023,2023,7,24.2913773,NRSC VIC MODEL
